fips,total_pop,white,Gini,gini,singpar,college2000,mhi,rent_burden,opioids,unemp
38017,176975,154002,0.4654,43.5,6.972620091591153,31.254352600846413,64428,NA,36.4,2.2
38019,3803,3609,0.4922,38.6,3.371343579573624,13.113807047949164,59794,NA,52,2.5
38021,4938,4769,0.4081,45,4.730617608409987,16.56618610747051,53564,NA,74.4,1.7
38023,2335,2170,0.4865,42.1,3.7810945273631837,13.268236645605974,55867,20.9,0.4,1.2
38025,4395,3731,0.4743,44.1,6.0232220609579095,16.25574592561638,67337,NA,17.5,1.5
38027,2301,2097,0.4968,43.9,4.810996563573884,15.933781686497673,49725,NA,95.9,4.7
38029,3310,3182,0.4502,47.8,4.311310190369541,12.256,46681,NA,58.5,4.6
38031,3260,3127,0.4066,43.7,5.454545454545454,19.774231218372908,58752,NA,118.3,2.5
38033,1845,1711,0.429,40.4,5.781865965834428,19.796557120500783,63054,NA,NA,1.9
38035,70224,60439,0.4716,42.5,8.099076076272853,27.84617031525986,50933,NA,61.3,2.1
38037,2353,2271,0.5088,50,2.928870292887029,11.154598825831702,48189,25.9,0.3,2.5
38039,2409,2296,0.4489,41.8,2.801358234295416,15.704967385850477,51823,NA,0.2,2.1
38041,2547,2343,0.4856,43.2,3.732638888888889,14.35793731041456,51827,NA,20.9,1.9
38043,2466,2369,0.4577,45.9,3.9723661485319512,10.99899091826438,46708,NA,40.7,4.2
38045,4125,3981,0.4713,46.9,4.067971163748712,13.861085835608128,57808,NA,34.4,1.9
38047,1872,1833,0.4238,49,2.3883696780893042,12.935617247489665,46948,26.3,0.3,2.3
38049,5878,5700,0.4682,44.3,5.146476642913698,13.16793893129771,53060,NA,0.8,3.8
38051,2597,2492,0.4457,47.6,3.2038173142467623,9.883720930232558,43804,22,42.8,2.5
38053,13334,11112,0.4667,44.5,9.112040911204092,15.724478594950602,75408,NA,41.9,1.6
38055,9584,8620,0.4077,40.6,5.347313237221494,15.120845921450151,61121,21,45.1,3.1
38057,8462,7869,0.3881,38.5,5.52898983861327,14.377162629757786,82991,NA,71.4,4
38059,30868,28149,0.4432,40.6,8.332490646172515,17.02179176755448,63279,NA,47.4,3.1
38061,10321,6648,0.47,43.4,10.1953125,15.618472963564633,64247,NA,12.1,1.5
38063,2894,2794,0.462,41.8,3.992628992628992,17.471848892117688,47708,NA,34.1,3.2
38065,1842,1671,0.4064,38.7,4.804045512010114,11.982881597717546,68151,NA,NA,3.9
38067,6947,6551,0.4384,40.9,5.28995756718529,16.40148950575491,56164,NA,66,3.8
38069,4126,3869,0.4477,41.7,5.855397148676171,14.727272727272728,48380,NA,59.3,3
38071,11583,9764,0.4775,43.1,8.210611256808553,18.847716360950386,56464,NA,130.3,2.7
38073,5314,5067,0.4093,40.7,4.9361702127659575,15.793357933579335,62465,NA,72.8,1.8
38075,2442,2364,0.3508,41.9,4.976958525345622,16.07905982905983,60178,NA,18.5,2.3
38077,16254,15120,0.4343,40.1,6.201888162672477,15.176053134382677,61361,NA,35.6,2.5
38079,14511,2640,0.5003,45.1,20.983318700614575,14.731298946799892,40777,NA,5.3,9
38081,3872,3647,0.3836,40.5,4.703247480403135,12.679826028772165,62940,NA,1.1,1.8
38083,1409,1393,0.4218,43,3.6935704514363885,9.6875,40786,NA,NA,4.4
38085,4373,581,0.5093,42.8,25.93607305936073,11.151641479937467,34705,16.3,NA,4
38087,742,715,0.3988,45.9,3.5143769968051117,15.985130111524162,55326,14.7,NA,2
38089,31081,28352,0.4533,42.4,6.840573219883566,22.291608195341006,66925,NA,71.6,2.3
38091,1744,1708,0.3728,38,4.333694474539545,19.816873773708306,66210,NA,NA,1.9
38093,20965,19479,0.4496,41.9,6.868438686620506,19.660692297167877,57265,NA,83.8,2.4
38095,2224,2052,0.484,43.6,4.761904761904762,16.14000972289742,51382,23.8,0.3,2.4
38097,8008,7468,0.3987,40.3,5.118228075426519,21.779141104294478,63204,NA,40.6,2.5
38099,10751,10130,0.4619,39.6,6.8005567707297665,13.28253223915592,50807,NA,57.8,3
38101,68812,59575,0.413,41.5,7.677618158934074,22.126428789943546,62932,NA,70.9,2.7
38103,3976,3892,0.4368,46.3,3.7020316027088036,13.701211305518168,54556,NA,2.1,2.9
